EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
28-Aug-18,2,Protests,Peaceful protest,Inner Mongolia,Ulanqab,Jining,41.034,113.116,2,0
28-Aug-18,2,Protests,Peaceful protest,Fujian,Quanzhou,Shishi,24.732,118.648,1,0
29-Aug-18,2,Violence against civilians,Abduction/forced disappearance,Beijing,Beijing,Beijing,39.906,116.391,3,0
29-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Jiaozuo,Wuzhi,35.099,113.401,1,0
29-Aug-18,1,Battles,Armed clash,Guizhou,Bijie,Zhijin,26.663,105.77,1,3
29-Aug-18,1,Protests,Peaceful protest,Shaanxi,Shangluo,Luonan,34.091,110.148,1,0
29-Aug-18,1,Strategic developments,Change to group/activity,Henan,Shangqiu,Zhecheng,34.091,115.306,1,0
29-Aug-18,1,Protests,Peaceful protest,Chongqing,Chongqing,Chongqing,29.432,106.912,3,0
29-Aug-18,1,Protests,Peaceful protest,Shandong,Qingdao,Jimo,36.389,120.447,1,0
29-Aug-18,2,Protests,Peaceful protest,Hubei,Wuhan,Jiang'an,30.6,114.309,2,0
29-Aug-18,1,Protests,Peaceful protest,Jiangxi,Ganzhou,Zhanggong,25.818,114.921,1,0
29-Aug-18,1,Protests,Excessive force against protesters,Guangdong,Maoming,Maonan,21.641,110.918,2,0
29-Aug-18,1,Violence against civilians,Attack,Jiangsu,Suzhou,Gusu,31.336,120.617,2,0
30-Aug-18,1,Protests,Peaceful protest,Macao,Macao,Macao,22.199,113.544,1,0
30-Aug-18,1,Violence against civilians,Attack,Chongqing,Hechuan,Hechuan,29.972,106.276,1,0
30-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Jiaozuo,Wuzhi,35.099,113.401,1,0
30-Aug-18,1,Violence against civilians,Attack,Henan,Shangqiu,Daizhuang,34.115,115.607,1,0
30-Aug-18,1,Protests,Protest with intervention,Jiangxi,Ganzhou,Zhanggong,25.818,114.921,1,0
30-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Zhengzhou,Dengfeng,34.454,113.05,1,0
30-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Shangqiu,Yucheng,34.403,115.841,1,0
